date,expenses
2018-07-17,547391
2018-07-18,306629
2018-07-19,713729
2018-07-20,706435
2018-07-23,711095
2018-07-24,581330
2018-07-25,299185
2018-07-26,673721
2018-07-27,678422
2018-07-30,732713
2018-07-31,529111
2018-08-01,302561
2018-08-02,706144
2018-08-03,679425
2018-08-06,689207
2018-08-07,540537
2018-08-08,297412
2018-08-09,720815
2018-08-10,682497
2018-08-13,714162
2018-08-14,479158
2018-08-15,373514
2018-08-16,728031
2018-08-17,678281
2018-08-20,705071
2018-08-21,595683
2018-08-22,291918
2018-08-23,723189
2018-08-24,652729
2018-08-27,694548
2018-08-28,541818
2018-08-29,300074
2018-08-30,726587
2018-08-31,692242
2018-09-03,703421
2018-09-04,547685
2018-09-05,203805
2018-09-06,423349
2018-09-07,878940
2018-09-10,770140
2018-09-11,569384
2018-09-12,320770
2018-09-13,720389
2018-09-14,632513
2018-09-17,696897
2018-09-18,603528
2018-09-19,304503
2018-09-20,708328
2018-09-21,669870
2018-09-24,701615
2018-09-25,548731
2018-09-26,338468
2018-09-27,691069
2018-09-28,643128
2018-10-01,682228
2018-10-02,546803
2018-10-03,302344
2018-10-04,721139
2018-10-05,654106
2018-10-08,703021
2018-10-09,571505
2018-10-10,302151
2018-10-11,699693
2018-10-12,625639
2018-10-15,674280
2018-10-16,589368
2018-10-17,295824
2018-10-18,702679
2018-10-19,657524
2018-10-22,673108
2018-10-23,540196
2018-10-24,296443
2018-10-25,708938
2018-10-26,633557
2018-10-29,667161
2018-10-30,529727
2018-10-31,295131
